Town,Lat,Lng
omisalj,45.2120215,14.5575259
matulji,45.3637986,14.3241057
medveja,45.2681387,14.2685961
lovran,45.292681,14.276282
lipa,45.4668881,14.3040218
krasica,45.3108083,14.555525
klenovica,45.1027535,14.8457182
kastav,45.3731673,14.3487225
klana,45.4444467,14.3743376
grobnik,45.3698067,14.460287
hreljin,45.2840364,14.5989301
fuzine,45.3046471,14.7135873
drazice,45.3889258,14.4659916
delnice,45.3991761,14.8020393
