Town,Date,Collected_at,Temperature,Weather,Real_feel,Humidity
grobnik,10.05.2020.,01:30,12.0,malo oblačno,12.0,68.0
hreljin,10.05.2020.,01:30,14.0,malo oblačno,14.0,48.0
fuzine,10.05.2020.,01:30,17.0,malo oblačno,17.0,38.0
drazice,10.05.2020.,01:30,14.0,malo oblačno,14.0,48.0
delnice,10.05.2020.,01:30,17.0,malo oblačno,17.0,38.0
crikvenica,10.05.2020.,01:30,14.0,malo oblačno,14.0,54.0
bribir,10.05.2020.,01:30,9.0,malo oblačno,9.0,52.0
brgud,10.05.2020.,01:30,9.0,malo oblačno,9.0,50.0
bakar,10.05.2020.,01:30,14.0,malo oblačno,14.0,48.0
bakarac,10.05.2020.,01:30,14.0,malo oblačno,14.0,48.0
baska,10.05.2020.,01:30,15.0,vedro,15.0,58.0
rubesi,10.05.2020.,01:30,11.0,malo oblačno,11.0,45.0
rijeka,10.05.2020.,01:30,14.0,malo oblačno,14.0,48.0
opatija,10.05.2020.,01:30,17.0,malo oblačno,17.0,50.0
jadranovo,10.05.2020.,01:30,14.0,malo oblačno,14.0,54.0
vrata,10.05.2020.,01:30,17.0,malo oblačno,17.0,38.0
selce,10.05.2020.,01:30,14.0,malo oblačno,14.0,54.0
veprinac,10.05.2020.,01:30,14.0,malo oblačno,14.0,48.0
omisalj,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
matulji,10.05.2020.,03:30,10.0,malo oblačno,10.0,50.0
medveja,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
lovran,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
lipa,10.05.2020.,03:30,9.0,malo oblačno,9.0,82.0
krasica,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
klenovica,10.05.2020.,03:30,14.0,vedro,14.0,55.0
kastav,10.05.2020.,03:30,10.0,malo oblačno,10.0,50.0
klana,10.05.2020.,03:30,10.0,malo oblačno,10.0,50.0
grobnik,10.05.2020.,03:30,9.0,malo oblačno,9.0,82.0
hreljin,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
fuzine,10.05.2020.,03:30,15.0,malo oblačno,15.0,41.0
drazice,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
delnice,10.05.2020.,03:30,15.0,malo oblačno,15.0,41.0
crikvenica,10.05.2020.,03:30,14.0,malo oblačno,14.0,55.0
bribir,10.05.2020.,03:30,8.0,malo oblačno,8.0,82.0
brgud,10.05.2020.,03:30,8.0,malo oblačno,8.0,82.0
bakar,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
bakarac,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
baska,10.05.2020.,03:30,14.0,vedro,14.0,55.0
rubesi,10.05.2020.,03:30,10.0,malo oblačno,10.0,50.0
rijeka,10.05.2020.,03:30,15.0,malo oblačno,15.0,46.0
opatija,10.05.2020.,03:30,11.0,malo oblačno,11.0,79.0
jadranovo,10.05.2020.,03:30,14.0,malo oblačno,14.0,55.0
vrata,10.05.2020.,03:30,15.0,malo oblačno,15.0,41.0
