Town,Date,Collected_at,Temperature,Weather,Real_feel,Humidity
klenovica,20.05.2020.,07:30,18.0,potpuno oblačno,18.0,67.0
kastav,20.05.2020.,07:30,11.0,malo oblačno,11.0,86.0
klana,20.05.2020.,07:30,11.0,malo oblačno,11.0,86.0
grobnik,20.05.2020.,07:30,14.0,jaka kiša,14.0,96.0
hreljin,20.05.2020.,07:30,20.0,pretežno oblačno,25.0,60.0
fuzine,20.05.2020.,07:30,13.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,13.0,93.0
drazice,20.05.2020.,07:30,20.0,pretežno oblačno,25.0,60.0
delnice,20.05.2020.,07:30,13.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,13.0,93.0
crikvenica,20.05.2020.,07:30,19.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,19.0,59.0
bribir,20.05.2020.,07:30,16.0,pretežno oblačno,16.0,78.0
brgud,20.05.2020.,07:30,16.0,pretežno oblačno,16.0,78.0
bakar,20.05.2020.,07:30,20.0,pretežno oblačno,25.0,60.0
bakarac,20.05.2020.,07:30,20.0,pretežno oblačno,25.0,60.0
baska,20.05.2020.,07:30,18.0,potpuno oblačno,18.0,67.0
rubesi,20.05.2020.,07:30,11.0,malo oblačno,11.0,86.0
rijeka,20.05.2020.,07:30,20.0,pretežno oblačno,25.0,60.0
opatija,20.05.2020.,07:30,14.0,umjerena kiša,14.0,96.0
jadranovo,20.05.2020.,07:30,19.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,19.0,59.0
vrata,20.05.2020.,07:30,13.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,13.0,93.0
selce,20.05.2020.,07:30,19.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,19.0,59.0
veprinac,20.05.2020.,07:30,20.0,pretežno oblačno,25.0,60.0
omisalj,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
matulji,20.05.2020.,09:30,11.0,slaba kiša,11.0,95.0
medveja,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
lovran,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
lipa,20.05.2020.,09:30,14.0,jaka kiša,14.0,96.0
krasica,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
klenovica,20.05.2020.,09:30,19.0,promjenjivo oblačno s povremenom kišom,19.0,69.0
kastav,20.05.2020.,09:30,11.0,slaba kiša,11.0,95.0
klana,20.05.2020.,09:30,11.0,slaba kiša,11.0,95.0
grobnik,20.05.2020.,09:30,14.0,jaka kiša,14.0,96.0
hreljin,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
fuzine,20.05.2020.,09:30,14.0,umjerena kiša,14.0,96.0
drazice,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
delnice,20.05.2020.,09:30,14.0,umjerena kiša,14.0,96.0
crikvenica,20.05.2020.,09:30,21.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,24.0,50.0
bribir,20.05.2020.,09:30,21.0,pretežno oblačno,24.0,61.0
brgud,20.05.2020.,09:30,21.0,pretežno oblačno,24.0,61.0
bakar,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
bakarac,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
baska,20.05.2020.,09:30,19.0,promjenjivo oblačno s povremenom kišom,19.0,69.0
rubesi,20.05.2020.,09:30,11.0,slaba kiša,11.0,95.0
rijeka,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
opatija,20.05.2020.,09:30,15.0,umjerena kiša,15.0,86.0
jadranovo,20.05.2020.,09:30,21.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,24.0,50.0
vrata,20.05.2020.,09:30,14.0,umjerena kiša,14.0,96.0
selce,20.05.2020.,09:30,21.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,24.0,50.0
veprinac,20.05.2020.,09:30,20.0,potpuno oblačno,25.0,60.0
omisalj,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
matulji,20.05.2020.,11:30,10.0,umjerena kiša,10.0,95.0
medveja,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
lovran,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
lipa,20.05.2020.,11:30,15.0,umjerena kiša,15.0,94.0
krasica,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
klenovica,20.05.2020.,11:30,19.0,pretežno oblačno,19.0,62.0
kastav,20.05.2020.,11:30,10.0,umjerena kiša,10.0,95.0
klana,20.05.2020.,11:30,10.0,umjerena kiša,10.0,95.0
grobnik,20.05.2020.,11:30,15.0,umjerena kiša,15.0,94.0
hreljin,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
fuzine,20.05.2020.,11:30,13.0,jaka kiša,13.0,96.0
drazice,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
delnice,20.05.2020.,11:30,13.0,jaka kiša,13.0,96.0
crikvenica,20.05.2020.,11:30,20.0,slaba kiša,24.0,50.0
bribir,20.05.2020.,11:30,20.0,pretežno oblačno,25.0,61.0
brgud,20.05.2020.,11:30,20.0,pretežno oblačno,25.0,61.0
bakar,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
bakarac,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
baska,20.05.2020.,11:30,19.0,pretežno oblačno,19.0,62.0
rubesi,20.05.2020.,11:30,10.0,umjerena kiša,10.0,95.0
rijeka,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
opatija,20.05.2020.,11:30,16.0,slaba kiša,16.0,79.0
jadranovo,20.05.2020.,11:30,20.0,slaba kiša,24.0,50.0
vrata,20.05.2020.,11:30,13.0,jaka kiša,13.0,96.0
selce,20.05.2020.,11:30,20.0,slaba kiša,24.0,50.0
veprinac,20.05.2020.,11:30,18.0,slaba kiša,18.0,63.0
omisalj,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
matulji,20.05.2020.,13:30,10.0,slaba kiša,10.0,90.0
medveja,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
lovran,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
lipa,20.05.2020.,13:30,15.0,umjerena kiša,15.0,94.0
krasica,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
klenovica,20.05.2020.,13:30,18.0,promjenjivo oblačno s povremenom kišom,18.0,61.0
kastav,20.05.2020.,13:30,10.0,slaba kiša,10.0,90.0
klana,20.05.2020.,13:30,10.0,slaba kiša,10.0,90.0
grobnik,20.05.2020.,13:30,15.0,umjerena kiša,15.0,94.0
hreljin,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
fuzine,20.05.2020.,13:30,13.0,umjerena kiša,13.0,96.0
drazice,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
delnice,20.05.2020.,13:30,13.0,umjerena kiša,13.0,96.0
crikvenica,20.05.2020.,13:30,20.0,slaba kiša,20.0,82.0
bribir,20.05.2020.,13:30,19.0,promjenjivo oblačno s povremenom kišom,19.0,68.0
brgud,20.05.2020.,13:30,19.0,promjenjivo oblačno s povremenom kišom,19.0,68.0
bakar,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
bakarac,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
baska,20.05.2020.,13:30,18.0,promjenjivo oblačno s povremenom kišom,18.0,61.0
rubesi,20.05.2020.,13:30,10.0,slaba kiša,10.0,90.0
rijeka,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
opatija,20.05.2020.,13:30,16.0,potpuno oblačno,16.0,70.0
jadranovo,20.05.2020.,13:30,20.0,slaba kiša,20.0,83.0
vrata,20.05.2020.,13:30,13.0,umjerena kiša,13.0,96.0
selce,20.05.2020.,13:30,20.0,slaba kiša,20.0,76.5
veprinac,20.05.2020.,13:30,18.0,pretežno oblačno,18.0,57.0
omisalj,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
matulji,20.05.2020.,15:30,11.0,promjenjivo oblačno s povremenom kišom,11.0,81.0
medveja,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
lovran,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
lipa,20.05.2020.,15:30,18.0,pretežno oblačno,18.0,76.0
krasica,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
klenovica,20.05.2020.,15:30,18.0,pretežno oblačno,18.0,56.0
kastav,20.05.2020.,15:30,11.0,promjenjivo oblačno s povremenom kišom,11.0,81.0
klana,20.05.2020.,15:30,11.0,promjenjivo oblačno s povremenom kišom,11.0,81.0
grobnik,20.05.2020.,15:30,18.0,pretežno oblačno,18.0,76.0
hreljin,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
fuzine,20.05.2020.,15:30,14.0,potpuno oblačno,14.0,92.0
drazice,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
delnice,20.05.2020.,15:30,14.0,potpuno oblačno,14.0,92.0
crikvenica,20.05.2020.,15:30,21.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,24.0,36.0
bribir,20.05.2020.,15:30,19.0,pretežno oblačno,19.0,59.0
brgud,20.05.2020.,15:30,19.0,pretežno oblačno,19.0,59.0
bakar,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
bakarac,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
baska,20.05.2020.,15:30,18.0,pretežno oblačno,18.0,56.0
rubesi,20.05.2020.,15:30,11.0,promjenjivo oblačno s povremenom kišom,11.0,81.0
rijeka,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
opatija,20.05.2020.,15:30,18.0,potpuno oblačno,18.0,61.0
jadranovo,20.05.2020.,15:30,21.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,24.0,36.0
vrata,20.05.2020.,15:30,14.0,potpuno oblačno,14.0,92.0
selce,20.05.2020.,15:30,21.0,promjenjivo oblačno s povremenim pljuskovima i grmljavinom,24.0,36.0
veprinac,20.05.2020.,15:30,18.0,slaba kiša,18.0,54.0
omisalj,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
matulji,20.05.2020.,17:30,13.0,malo oblačno,13.0,76.0
medveja,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
lovran,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
lipa,20.05.2020.,17:30,18.0,malo oblačno,18.0,80.0
krasica,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
klenovica,20.05.2020.,17:30,20.0,pretežno oblačno,24.0,50.0
kastav,20.05.2020.,17:30,13.0,malo oblačno,13.0,76.0
klana,20.05.2020.,17:30,13.0,malo oblačno,13.0,76.0
grobnik,20.05.2020.,17:30,18.0,malo oblačno,18.0,80.0
hreljin,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
fuzine,20.05.2020.,17:30,15.0,malo oblačno,15.0,84.0
drazice,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
delnice,20.05.2020.,17:30,15.0,malo oblačno,15.0,84.0
crikvenica,20.05.2020.,17:30,20.0,malo oblačno,24.0,41.0
bribir,20.05.2020.,17:30,18.0,pretežno oblačno,18.0,56.0
brgud,20.05.2020.,17:30,18.0,pretežno oblačno,18.0,56.0
bakar,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
bakarac,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
baska,20.05.2020.,17:30,20.0,pretežno oblačno,24.0,50.0
rubesi,20.05.2020.,17:30,13.0,malo oblačno,13.0,76.0
rijeka,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
opatija,20.05.2020.,17:30,19.0,pretežno oblačno,19.0,63.0
jadranovo,20.05.2020.,17:30,20.0,malo oblačno,24.0,41.0
vrata,20.05.2020.,17:30,15.0,malo oblačno,15.0,84.0
selce,20.05.2020.,17:30,20.0,malo oblačno,24.0,41.0
veprinac,20.05.2020.,17:30,21.0,malo oblačno,24.0,44.0
omisalj,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
matulji,20.05.2020.,19:30,13.0,malo oblačno,13.0,67.0
medveja,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
lovran,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
lipa,20.05.2020.,19:30,17.0,malo oblačno,17.0,74.0
krasica,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
klenovica,20.05.2020.,19:30,19.0,pretežno oblačno,19.0,54.0
kastav,20.05.2020.,19:30,13.0,malo oblačno,13.0,67.0
klana,20.05.2020.,19:30,13.0,malo oblačno,13.0,67.0
grobnik,20.05.2020.,19:30,17.0,malo oblačno,17.0,74.0
hreljin,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
fuzine,20.05.2020.,19:30,15.0,malo oblačno,15.0,89.0
drazice,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
delnice,20.05.2020.,19:30,15.0,malo oblačno,15.0,89.0
crikvenica,20.05.2020.,19:30,21.0,malo oblačno,24.0,41.0
bribir,20.05.2020.,19:30,19.0,pretežno oblačno,19.0,53.0
brgud,20.05.2020.,19:30,19.0,pretežno oblačno,19.0,53.0
bakar,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
bakarac,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
baska,20.05.2020.,19:30,19.0,pretežno oblačno,19.0,54.0
rubesi,20.05.2020.,19:30,13.0,malo oblačno,13.0,67.0
rijeka,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
opatija,20.05.2020.,19:30,18.0,pretežno oblačno,18.0,72.0
jadranovo,20.05.2020.,19:30,21.0,malo oblačno,24.0,41.0
vrata,20.05.2020.,19:30,15.0,malo oblačno,15.0,89.0
selce,20.05.2020.,19:30,21.0,malo oblačno,24.0,41.0
veprinac,20.05.2020.,19:30,20.0,malo oblačno,24.0,49.0
omisalj,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
matulji,20.05.2020.,21:30,12.0,malo oblačno,12.0,71.0
medveja,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
lovran,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
lipa,20.05.2020.,21:30,14.0,umjereno oblačno,14.0,90.0
krasica,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
klenovica,20.05.2020.,21:30,18.0,malo oblačno,18.0,51.0
kastav,20.05.2020.,21:30,12.0,malo oblačno,12.0,71.0
klana,20.05.2020.,21:30,12.0,malo oblačno,12.0,71.0
grobnik,20.05.2020.,21:30,14.0,umjereno oblačno,14.0,90.0
hreljin,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
fuzine,20.05.2020.,21:30,14.0,pretežno oblačno,14.0,94.0
drazice,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
delnice,20.05.2020.,21:30,14.0,pretežno oblačno,14.0,94.0
crikvenica,20.05.2020.,21:30,21.0,malo oblačno,24.0,38.0
bribir,20.05.2020.,21:30,18.0,pretežno oblačno,18.0,60.0
brgud,20.05.2020.,21:30,18.0,pretežno oblačno,18.0,60.0
bakar,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
bakarac,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
baska,20.05.2020.,21:30,18.0,malo oblačno,18.0,51.0
rubesi,20.05.2020.,21:30,12.0,malo oblačno,12.0,71.0
rijeka,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
opatija,20.05.2020.,21:30,15.0,pretežno oblačno,15.0,91.0
jadranovo,20.05.2020.,21:30,21.0,malo oblačno,24.0,38.0
vrata,20.05.2020.,21:30,14.0,pretežno oblačno,14.0,94.0
selce,20.05.2020.,21:30,21.0,malo oblačno,24.0,38.0
veprinac,20.05.2020.,21:30,20.0,malo oblačno,24.0,50.0
omisalj,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
matulji,20.05.2020.,23:30,12.0,malo oblačno,12.0,63.0
medveja,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
lovran,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
lipa,20.05.2020.,23:30,11.0,malo oblačno,11.0,97.0
krasica,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
klenovica,20.05.2020.,23:30,18.0,malo oblačno,18.0,53.0
kastav,20.05.2020.,23:30,12.0,malo oblačno,12.0,63.0
klana,20.05.2020.,23:30,12.0,malo oblačno,12.0,63.0
grobnik,20.05.2020.,23:30,11.0,malo oblačno,11.0,97.0
hreljin,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
fuzine,20.05.2020.,23:30,12.0,malo oblačno,12.0,94.0
drazice,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
delnice,20.05.2020.,23:30,12.0,malo oblačno,12.0,94.0
crikvenica,20.05.2020.,23:30,20.0,malo oblačno,24.0,42.0
bribir,20.05.2020.,23:30,17.0,pretežno oblačno,17.0,54.0
brgud,20.05.2020.,23:30,17.0,pretežno oblačno,17.0,54.0
bakar,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
bakarac,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
baska,20.05.2020.,23:30,18.0,malo oblačno,18.0,53.0
rubesi,20.05.2020.,23:30,12.0,malo oblačno,12.0,63.0
rijeka,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
opatija,20.05.2020.,23:30,12.0,vedro,12.0,88.0
jadranovo,20.05.2020.,23:30,20.0,malo oblačno,24.0,42.0
vrata,20.05.2020.,23:30,12.0,malo oblačno,12.0,94.0
selce,20.05.2020.,23:30,20.0,malo oblačno,24.0,42.0
veprinac,20.05.2020.,23:30,19.0,malo oblačno,19.0,43.0
omisalj,21.05.2020.,01:30,19.0,malo oblačno,19.0,43.236363636363635
matulji,21.05.2020.,01:30,9.0,malo oblačno,9.0,43.472727272727276
medveja,21.05.2020.,01:30,19.0,malo oblačno,19.0,43.70909090909091
lovran,21.05.2020.,01:30,19.0,malo oblačno,19.0,43.945454545454545
lipa,21.05.2020.,01:30,9.0,malo oblačno,9.0,44.18181818181818
krasica,21.05.2020.,01:30,19.0,malo oblačno,19.0,44.41818181818182
klenovica,21.05.2020.,01:30,18.0,malo oblačno,18.0,44.654545454545456
kastav,21.05.2020.,01:30,9.0,malo oblačno,9.0,44.89090909090909
klana,21.05.2020.,01:30,9.0,malo oblačno,9.0,45.127272727272725
grobnik,21.05.2020.,01:30,9.0,malo oblačno,9.0,45.36363636363637
hreljin,21.05.2020.,01:30,19.0,malo oblačno,19.0,45.6
fuzine,21.05.2020.,01:30,9.0,malo oblačno,9.0,45.836363636363636
drazice,21.05.2020.,01:30,19.0,malo oblačno,19.0,46.07272727272727
delnice,21.05.2020.,01:30,9.0,malo oblačno,9.0,46.30909090909091
crikvenica,21.05.2020.,01:30,19.0,malo oblačno,19.0,46.54545454545455
bribir,21.05.2020.,01:30,16.0,pretežno oblačno,16.0,46.78181818181818
brgud,21.05.2020.,01:30,16.0,pretežno oblačno,16.0,47.018181818181816
bakar,21.05.2020.,01:30,19.0,malo oblačno,19.0,47.25454545454546
bakarac,21.05.2020.,01:30,19.0,malo oblačno,19.0,47.49090909090909
baska,21.05.2020.,01:30,18.0,malo oblačno,18.0,47.72727272727273
rubesi,21.05.2020.,01:30,9.0,malo oblačno,9.0,47.96363636363636
rijeka,21.05.2020.,01:30,19.0,malo oblačno,19.0,48.2
opatija,21.05.2020.,01:30,19.0,malo oblačno,19.0,48.43636363636364
jadranovo,21.05.2020.,01:30,19.0,malo oblačno,19.0,48.67272727272727
vrata,21.05.2020.,01:30,9.0,malo oblačno,9.0,48.90909090909091
selce,21.05.2020.,01:30,19.0,malo oblačno,19.0,49.14545454545455
veprinac,21.05.2020.,01:30,19.0,malo oblačno,19.0,49.38181818181818
omisalj,21.05.2020.,03:30,17.0,malo oblačno,17.0,49.61818181818182
matulji,21.05.2020.,03:30,9.0,malo oblačno,9.0,49.85454545454545
medveja,21.05.2020.,03:30,17.0,malo oblačno,17.0,50.09090909090909
lovran,21.05.2020.,03:30,17.0,malo oblačno,17.0,50.32727272727273
lipa,21.05.2020.,03:30,7.0,malo oblačno,7.0,50.56363636363636
krasica,21.05.2020.,03:30,17.0,malo oblačno,17.0,50.8
klenovica,21.05.2020.,03:30,17.0,malo oblačno,17.0,51.03636363636364
kastav,21.05.2020.,03:30,9.0,malo oblačno,9.0,51.27272727272727
klana,21.05.2020.,03:30,9.0,malo oblačno,9.0,51.50909090909091
grobnik,21.05.2020.,03:30,7.0,malo oblačno,7.0,51.74545454545455
hreljin,21.05.2020.,03:30,17.0,malo oblačno,17.0,51.981818181818184
fuzine,21.05.2020.,03:30,9.0,malo oblačno,9.0,52.21818181818182
drazice,21.05.2020.,03:30,17.0,malo oblačno,17.0,52.45454545454545
delnice,21.05.2020.,03:30,9.0,malo oblačno,9.0,52.69090909090909
crikvenica,21.05.2020.,03:30,19.0,malo oblačno,19.0,52.92727272727273
bribir,21.05.2020.,03:30,16.0,pretežno oblačno,16.0,53.163636363636364
brgud,21.05.2020.,03:30,16.0,pretežno oblačno,16.0,53.4
bakar,21.05.2020.,03:30,17.0,malo oblačno,17.0,53.63636363636364
bakarac,21.05.2020.,03:30,17.0,malo oblačno,17.0,53.872727272727275
baska,21.05.2020.,03:30,17.0,malo oblačno,17.0,54.10909090909091
rubesi,21.05.2020.,03:30,9.0,malo oblačno,9.0,54.345454545454544
rijeka,21.05.2020.,03:30,17.0,malo oblačno,17.0,54.58181818181818
opatija,21.05.2020.,03:30,18.0,malo oblačno,18.0,54.81818181818182
jadranovo,21.05.2020.,03:30,19.0,malo oblačno,19.0,55.054545454545455
vrata,21.05.2020.,03:30,9.0,malo oblačno,9.0,55.29090909090909
selce,21.05.2020.,03:30,19.0,malo oblačno,19.0,55.52727272727273
veprinac,21.05.2020.,03:30,17.0,malo oblačno,17.0,55.763636363636365
omisalj,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
matulji,21.05.2020.,05:30,8.0,malo oblačno,8.0,56.0
medveja,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
lovran,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
lipa,21.05.2020.,05:30,6.0,malo oblačno,6.0,100.0
krasica,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
klenovica,21.05.2020.,05:30,18.0,vedro,18.0,43.0
kastav,21.05.2020.,05:30,8.0,malo oblačno,8.0,62.0
klana,21.05.2020.,05:30,8.0,malo oblačno,8.0,81.0
grobnik,21.05.2020.,05:30,6.0,malo oblačno,6.0,100.0
hreljin,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
fuzine,21.05.2020.,05:30,9.0,malo oblačno,9.0,56.0
drazice,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
delnice,21.05.2020.,05:30,9.0,malo oblačno,9.0,56.0
crikvenica,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
bribir,21.05.2020.,05:30,15.0,pretežno oblačno,15.0,56.0
brgud,21.05.2020.,05:30,15.0,pretežno oblačno,15.0,56.0
bakar,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
bakarac,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
baska,21.05.2020.,05:30,18.0,vedro,18.0,43.0
rubesi,21.05.2020.,05:30,8.0,malo oblačno,8.0,49.5
rijeka,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
opatija,21.05.2020.,05:30,13.0,vedro,13.0,56.0
jadranovo,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
vrata,21.05.2020.,05:30,9.0,malo oblačno,9.0,56.0
selce,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
veprinac,21.05.2020.,05:30,18.0,malo oblačno,18.0,56.0
omisalj,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
matulji,21.05.2020.,07:30,9.0,malo oblačno,9.0,63.0
medveja,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
lovran,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
lipa,21.05.2020.,07:30,10.0,vedro,10.0,97.0
krasica,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
klenovica,21.05.2020.,07:30,18.0,vedro,18.0,44.0
kastav,21.05.2020.,07:30,9.0,malo oblačno,9.0,63.0
klana,21.05.2020.,07:30,9.0,malo oblačno,9.0,63.0
grobnik,21.05.2020.,07:30,10.0,vedro,10.0,97.0
hreljin,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
fuzine,21.05.2020.,07:30,14.0,malo oblačno,14.0,78.0
drazice,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
delnice,21.05.2020.,07:30,14.0,malo oblačno,14.0,78.0
crikvenica,21.05.2020.,07:30,19.0,malo oblačno,19.0,37.0
bribir,21.05.2020.,07:30,17.0,pretežno oblačno,17.0,49.0
brgud,21.05.2020.,07:30,17.0,pretežno oblačno,17.0,49.0
bakar,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
bakarac,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
baska,21.05.2020.,07:30,18.0,vedro,18.0,44.0
rubesi,21.05.2020.,07:30,9.0,malo oblačno,9.0,63.0
rijeka,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
opatija,21.05.2020.,07:30,15.0,vedro,15.0,54.0
jadranovo,21.05.2020.,07:30,19.0,malo oblačno,19.0,37.0
vrata,21.05.2020.,07:30,14.0,malo oblačno,14.0,78.0
selce,21.05.2020.,07:30,19.0,malo oblačno,19.0,37.0
veprinac,21.05.2020.,07:30,17.0,malo oblačno,17.0,51.0
omisalj,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
matulji,21.05.2020.,09:30,13.0,malo oblačno,13.0,54.0
medveja,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
lovran,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
lipa,21.05.2020.,09:30,17.0,vedro,17.0,60.0
krasica,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
klenovica,21.05.2020.,09:30,19.0,vedro,19.0,41.0
kastav,21.05.2020.,09:30,13.0,malo oblačno,13.0,54.0
klana,21.05.2020.,09:30,13.0,malo oblačno,13.0,54.0
grobnik,21.05.2020.,09:30,17.0,vedro,17.0,60.0
hreljin,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
fuzine,21.05.2020.,09:30,15.0,vedro,15.0,56.0
drazice,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
delnice,21.05.2020.,09:30,15.0,vedro,15.0,56.0
crikvenica,21.05.2020.,09:30,21.0,malo oblačno,23.0,31.0
bribir,21.05.2020.,09:30,18.0,malo oblačno,18.0,43.0
brgud,21.05.2020.,09:30,18.0,malo oblačno,18.0,43.0
bakar,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
bakarac,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
baska,21.05.2020.,09:30,19.0,vedro,19.0,41.0
rubesi,21.05.2020.,09:30,13.0,malo oblačno,13.0,54.0
rijeka,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
opatija,21.05.2020.,09:30,18.0,vedro,18.0,46.0
jadranovo,21.05.2020.,09:30,21.0,malo oblačno,23.0,31.0
vrata,21.05.2020.,09:30,15.0,vedro,15.0,56.0
selce,21.05.2020.,09:30,21.0,malo oblačno,23.0,31.0
veprinac,21.05.2020.,09:30,19.0,malo oblačno,19.0,43.0
omisalj,21.05.2020.,11:30,21.0,malo oblačno,24.0,39.0
matulji,21.05.2020.,11:30,14.0,umjereno oblačno,14.0,54.0
medveja,21.05.2020.,11:30,21.0,malo oblačno,24.0,39.0
