Town1,Town2,Distance
kastav,hreljin,21.927445540191812
kastav,fuzine,29.51813885027463
kastav,drazice,9.325068266101475
kastav,delnice,35.51964341651632
kastav,crikvenica,34.882504499996415
kastav,bribir,39.91809656413016
kastav,brgud,19.282753117001914
kastav,bakar,16.254187274367332
kastav,bakarac,21.05263537890803
kastav,baska,54.71640525563279
kastav,rubesi,0.6884789712455994
kastav,rijeka,8.855105554858817
kastav,opatija,5.740776136733589
kastav,jadranovo,26.544627343445537
kastav,vrata,30.36425399536963
kastav,selce,37.6636639119241
kastav,veprinac,7.001504844306609
klana,omisalj,29.546923187390444
klana,matulji,9.787642801300839
klana,medveja,21.274468261593928
klana,lovran,18.53270151782011
klana,lipa,6.025546347296353
klana,krasica,20.520588664074307
klana,klenovica,52.95393865256918
klana,kastav,8.174255115396782
klana,grobnik,10.672562192641157
klana,hreljin,25.020493446393903
klana,fuzine,30.7221290852772
klana,drazice,9.449413867460834
klana,delnice,33.75766913194143
klana,crikvenica,39.07038894811467
klana,bribir,43.615281261900776
klana,brgud,27.016912703616406
klana,bakar,19.72650189535778
klana,bakarac,24.527155483627634
klana,baska,60.34948306592074
klana,rubesi,8.858592967675495
klana,rijeka,14.047501091755548
klana,opatija,13.610488218340945
klana,jadranovo,30.748773334799978
klana,vrata,31.118087762614238
klana,selce,41.792667524403484
klana,veprinac,14.314363788197438
grobnik,omisalj,19.122892938918064
grobnik,matulji,10.659671247631143
grobnik,medveja,18.773343734265215
grobnik,lovran,16.74639091699269
grobnik,lipa,16.287646889512263
grobnik,krasica,9.921975003111436
grobnik,klenovica,42.33924256907532
grobnik,kastav,8.72289566604028
grobnik,klana,10.672562192641157
grobnik,hreljin,14.437287511700916
grobnik,fuzine,21.082695689080406
grobnik,drazice,2.1721346220321323
grobnik,delnice,26.88895748442201
grobnik,crikvenica,28.399009828137117
grobnik,bribir,32.997641642471336
grobnik,brgud,25.24116473031317
grobnik,bakar,9.05440852691389
grobnik,bakarac,13.87526893848093
grobnik,baska,49.857987345798406
grobnik,rubesi,8.962731020717632
grobnik,rijeka,4.968812931620812
grobnik,opatija,12.965501690664665
grobnik,jadranovo,20.078193879518864
grobnik,vrata,21.804093616823113
grobnik,selce,31.12527977280431
grobnik,veprinac,14.817726533297881
hreljin,omisalj,8.638835561229461
hreljin,matulji,23.244577410624185
hreljin,medveja,25.90797205428925
hreljin,lovran,25.25903390166681
hreljin,lipa,30.72484878975878
hreljin,krasica,4.515330395586752
hreljin,klenovica,27.934054262407383
hreljin,kastav,21.927445540191812
hreljin,klana,25.020493446393903
hreljin,grobnik,14.437287511700916
hreljin,fuzine,9.256870488894881
hreljin,drazice,15.62053763968575
hreljin,delnice,20.393838402800085
hreljin,crikvenica,14.301733908780408
hreljin,bribir,18.59769214491608
hreljin,brgud,31.58175616862469
hreljin,bakar,5.67325828689891
hreljin,bakarac,1.3649355241608632
hreljin,baska,36.79775879920386
hreljin,rubesi,21.865178989782343
hreljin,rijeka,13.233048416787968
hreljin,opatija,23.772198038192816
hreljin,jadranovo,6.539019346591063
hreljin,vrata,10.79462944084092
hreljin,selce,16.929885659503714
hreljin,veprinac,25.803117604364903
fuzine,omisalj,15.97776959184395
fuzine,matulji,31.146851993828236
fuzine,medveja,35.04870665084064
fuzine,lovran,34.22999685267663
fuzine,lipa,36.721998854741855
fuzine,krasica,12.379956135067443
fuzine,klenovica,24.72136214044723
fuzine,kastav,29.51813885027463
fuzine,klana,30.7221290852772
fuzine,grobnik,21.082695689080406
fuzine,hreljin,9.256870488894881
fuzine,drazice,21.499369656031107
fuzine,delnice,12.580050498224393
fuzine,crikvenica,14.650878000851543
fuzine,bribir,16.310034253988825
fuzine,brgud,40.81796311431383
fuzine,bakar,14.026611699756744
fuzine,bakarac,10.611835669226698
fuzine,baska,37.22195482449106
fuzine,rubesi,29.596455093930352
fuzine,rijeka,21.442896233032133
fuzine,opatija,32.258675903322725
fuzine,jadranovo,11.535492452944048
fuzine,vrata,1.8002405939916626
fuzine,selce,16.290927719286106
fuzine,veprinac,34.29531095292876
drazice,omisalj,20.93314805347388
drazice,matulji,11.4292706844251
drazice,medveja,20.457617536459875
drazice,lovran,18.286016836468665
drazice,lipa,15.32687886322339
drazice,krasica,11.153636693422557
drazice,klenovica,43.546880114401375
drazice,kastav,9.325068266101475
drazice,klana,9.449413867460834
drazice,grobnik,2.1721346220321323
drazice,hreljin,15.62053763968575
drazice,fuzine,21.499369656031107
drazice,delnice,26.264698023049284
drazice,crikvenica,29.792406167158806
drazice,bribir,34.21546739483644
drazice,brgud,26.90681491487313
drazice,bakar,10.543242239499085
drazice,bakarac,15.21123377020619
drazice,baska,51.56146636640695
drazice,rubesi,9.70325350210782
drazice,rijeka,7.133699576870143
drazice,opatija,14.18568923399382
drazice,jadranovo,21.555197916160722
drazice,vrata,22.05356264701985
drazice,selce,32.48393079093654
drazice,veprinac,15.91477440910949
delnice,omisalj,28.262162533312033
delnice,matulji,37.533955436502296
delnice,medveja,44.17025507983948
delnice,lovran,42.760493807113406
delnice,lipa,39.58301182805236
delnice,krasica,21.62361589585048
delnice,klenovica,33.137564948009675
delnice,kastav,35.51964341651632
delnice,klana,33.75766913194143
delnice,grobnik,26.88895748442201
delnice,hreljin,20.393838402800085
delnice,fuzine,12.580050498224393
delnice,drazice,26.264698023049284
delnice,crikvenica,26.488023058993278
delnice,bribir,26.58640552601157
delnice,brgud,50.40465707787848
delnice,bakar,23.292200878216008
delnice,bakarac,21.701734685789685
delnice,baska,47.787486561898895
delnice,rubesi,35.82173588016029
delnice,rijeka,29.303646710049215
delnice,opatija,39.682708725048414
delnice,jadranovo,24.05826125527203
delnice,vrata,10.801763808347129
delnice,selce,27.538756730090306
delnice,veprinac,41.617274957984094
crikvenica,omisalj,11.423805704523447
crikvenica,matulji,35.76640554450137
crikvenica,medveja,34.843978484824355
crikvenica,lovran,35.19607546203168
crikvenica,lipa,44.5725628855022
crikvenica,krasica,18.652457187770473
crikvenica,klenovica,14.357110386607438
crikvenica,kastav,34.882504499996415
crikvenica,klana,39.07038894811467
crikvenica,grobnik,28.399009828137117
crikvenica,hreljin,14.301733908780408
crikvenica,fuzine,14.650878000851543
crikvenica,drazice,29.792406167158806
crikvenica,delnice,26.488023058993278
crikvenica,bribir,5.511373624116039
crikvenica,brgud,39.04851713357718
crikvenica,bakar,19.344688862468846
crikvenica,bakarac,14.581511259394954
crikvenica,baska,23.002801222714563
crikvenica,rubesi,34.66833684222258
crikvenica,rijeka,26.05797278830559
crikvenica,opatija,35.271732879963594
crikvenica,jadranovo,8.379102924633317
crikvenica,vrata,16.155259411044426
crikvenica,selce,2.781913508580152
crikvenica,veprinac,37.16926269359407
bribir,omisalj,16.898022400268868
bribir,matulji,40.91218317555386
bribir,medveja,40.3446314611659
bribir,lovran,40.65650148148911
bribir,lipa,49.27206811050931
bribir,krasica,23.095513435820603
bribir,klenovica,9.341603440211523
bribir,kastav,39.91809656413016
bribir,klana,43.615281261900776
bribir,grobnik,32.997641642471336
bribir,hreljin,18.59769214491608
bribir,fuzine,16.310034253988825
bribir,drazice,34.21546739483644
bribir,delnice,26.58640552601157
bribir,crikvenica,5.511373624116039
bribir,brgud,44.54929835901799
bribir,bakar,24.009152409796688
bribir,bakarac,19.136156378754944
bribir,baska,21.241500768681036
bribir,rubesi,39.74288159397328
bribir,rijeka,31.06378000341574
bribir,opatija,40.58885429696326
bribir,jadranovo,13.415909738766443
bribir,vrata,17.410547385433265
bribir,selce,3.1910781809430735
bribir,veprinac,42.512058566918874
brgud,omisalj,27.969481007036315
brgud,matulji,17.32388548330023
brgud,medveja,6.468697560826257
brgud,lovran,8.757768531077776
brgud,lipa,27.108831040798886
brgud,krasica,28.972473061577166
brgud,klenovica,52.547595479408294
brgud,kastav,19.282753117001914
brgud,klana,27.016912703616406
brgud,grobnik,25.24116473031317
brgud,hreljin,31.58175616862469
brgud,fuzine,40.81796311431383
brgud,drazice,26.90681491487313
brgud,delnice,50.40465707787848
brgud,crikvenica,39.04851713357718
brgud,bribir,44.54929835901799
brgud,bakar,27.263917883737072
brgud,bakarac,30.246829196588116
brgud,baska,52.0773167843742
brgud,rubesi,18.6217159273305
brgud,rijeka,21.4138739519474
brgud,opatija,13.546522449984941
brgud,jadranovo,32.492837246456446
brgud,vrata,42.26071745688864
brgud,selce,41.52171338782683
brgud,veprinac,12.722029917005942
bakar,omisalj,10.732885262281966
bakar,matulji,17.593705932878745
bakar,medveja,21.231476759233317
bakar,lovran,20.24206933972804
bakar,lipa,25.274740761249696
bakar,krasica,1.711534354533964
bakar,klenovica,33.345488560888114
bakar,kastav,16.254187274367332
bakar,klana,19.72650189535778
bakar,grobnik,9.05440852691389
bakar,hreljin,5.67325828689891
bakar,fuzine,14.026611699756744
bakar,drazice,10.543242239499085
bakar,delnice,23.292200878216008
bakar,crikvenica,19.344688862468846
bakar,bribir,24.009152409796688
bakar,brgud,27.263917883737072
bakar,bakarac,4.882415001507407
bakar,baska,41.06221612547356
bakar,rubesi,16.195658546019946
bakar,rijeka,7.607827378758676
bakar,opatija,18.30882910835498
bakar,jadranovo,11.035491177366616
bakar,vrata,15.254935821424336
bakar,selce,22.074031885490655
bakar,veprinac,20.347059144887623
bakarac,omisalj,7.755988398578261
bakarac,matulji,22.288526508486417
bakarac,medveja,24.613468643024007
bakarac,lovran,24.019462690927895
bakarac,lipa,30.1369983944752
bakarac,krasica,4.08243970097952
bakarac,klenovica,28.4757289217442
bakarac,kastav,21.05263537890803
bakarac,klana,24.527155483627634
bakarac,grobnik,13.87526893848093
bakarac,hreljin,1.3649355241608632
bakarac,fuzine,10.611835669226698
bakarac,drazice,15.21123377020619
bakarac,delnice,21.701734685789685
bakarac,crikvenica,14.581511259394954
bakarac,bribir,19.136156378754944
bakarac,brgud,30.246829196588116
bakarac,bakar,4.882415001507407
bakarac,baska,36.755158387591045
bakarac,rubesi,20.957403326573942
bakarac,rijeka,12.272015951959283
bakarac,opatija,22.66880517712113
bakarac,jadranovo,6.4530844576141675
bakarac,vrata,12.15878590524927
bakarac,selce,17.27730019288756
bakarac,veprinac,24.69283309196599
baska,omisalj,30.803532232713536
baska,matulji,55.02121697877361
baska,medveja,50.235711790482235
baska,lovran,51.629257444344965
baska,lipa,65.31337785983234
baska,krasica,40.778033763757
baska,klenovica,16.44613105530955
baska,kastav,54.71640525563279
baska,klana,60.34948306592074
baska,grobnik,49.857987345798406
baska,hreljin,36.79775879920386
baska,fuzine,37.22195482449106
baska,drazice,51.56146636640695
baska,delnice,47.787486561898895
baska,crikvenica,23.002801222714563
baska,bribir,21.241500768681036
baska,brgud,52.0773167843742
baska,bakar,41.06221612547356
baska,bakarac,36.755158387591045
baska,rubesi,54.33453228942053
baska,rijeka,46.459724230708524
baska,opatija,53.40659879128226
baska,jadranovo,30.313930741572264
baska,vrata,38.492066163614396
baska,selce,20.95988754288036
baska,veprinac,54.9660055655673
rubesi,omisalj,23.942382166608073
rubesi,matulji,1.7262533219687317
rubesi,medveja,12.570629344666143
rubesi,lovran,9.917298764523558
rubesi,lipa,11.531575447100094
rubesi,krasica,17.571481784469146
rubesi,klenovica,48.982905892494394
rubesi,kastav,0.6884789712455994
rubesi,klana,8.858592967675495
rubesi,grobnik,8.962731020717632
rubesi,hreljin,21.865178989782343
rubesi,fuzine,29.596455093930352
rubesi,drazice,9.70325350210782
rubesi,delnice,35.82173588016029
rubesi,crikvenica,34.66833684222258
rubesi,bribir,39.74288159397328
rubesi,brgud,18.6217159273305
rubesi,bakar,16.195658546019946
rubesi,bakarac,20.957403326573942
rubesi,baska,54.33453228942053
rubesi,rijeka,8.707711119857917
rubesi,opatija,5.089831782221739
rubesi,jadranovo,26.35041653264833
rubesi,vrata,30.478474206932304
rubesi,selce,37.450213095020274
rubesi,veprinac,6.430576915505305
rijeka,omisalj,15.709206949969689
rijeka,matulji,10.018477587328261
rijeka,medveja,15.014139618388537
rijeka,lovran,13.457223345529975
rijeka,lipa,18.871187395919737
rijeka,krasica,9.119826539866441
rijeka,klenovica,40.33107061217367
rijeka,kastav,8.855105554858817
rijeka,klana,14.047501091755548
rijeka,grobnik,4.968812931620812
rijeka,hreljin,13.233048416787968
rijeka,fuzine,21.442896233032133
rijeka,drazice,7.133699576870143
rijeka,delnice,29.303646710049215
rijeka,crikvenica,26.05797278830559
rijeka,bribir,31.06378000341574
rijeka,brgud,21.4138739519474
rijeka,bakar,7.607827378758676
rijeka,bakarac,12.272015951959283
rijeka,baska,46.459724230708524
rijeka,rubesi,8.707711119857917
rijeka,opatija,10.827437261545052
rijeka,jadranovo,17.70269151749014
rijeka,vrata,22.518531409425776
rijeka,selce,28.836920500789475
rijeka,veprinac,12.860194456324095
opatija,omisalj,24.02386732700338
opatija,matulji,3.824541828581278
opatija,medveja,7.67389336109134
opatija,lovran,4.922683415929791
opatija,lipa,14.912151088901696
opatija,krasica,19.897569388871233
opatija,klenovica,49.61446031859264
opatija,kastav,5.740776136733589
opatija,klana,13.610488218340945
opatija,grobnik,12.965501690664665
opatija,hreljin,23.772198038192816
opatija,fuzine,32.258675903322725
opatija,drazice,14.18568923399382
opatija,delnice,39.682708725048414
opatija,crikvenica,35.271732879963594
opatija,bribir,40.58885429696326
opatija,brgud,13.546522449984941
opatija,bakar,18.30882910835498
opatija,bakarac,22.66880517712113
opatija,baska,53.40659879128226
opatija,rubesi,5.089831782221739
opatija,rijeka,10.827437261545052
opatija,jadranovo,27.232126404803722
opatija,vrata,33.34568707333006
opatija,selce,38.02866984156901
opatija,veprinac,2.038478417900534
jadranovo,omisalj,4.8979597466301765
jadranovo,matulji,27.499036006080356
jadranovo,medveja,27.630397675556146
jadranovo,lovran,27.629651990052405
jadranovo,lipa,36.20392680148254
jadranovo,krasica,10.515938396638818
jadranovo,klenovica,22.633746779321115
jadranovo,kastav,26.544627343445537
jadranovo,klana,30.748773334799978
jadranovo,grobnik,20.078193879518864
jadranovo,hreljin,6.539019346591063
jadranovo,fuzine,11.535492452944048
jadranovo,drazice,21.555197916160722
jadranovo,delnice,24.05826125527203
jadranovo,crikvenica,8.379102924633317
jadranovo,bribir,13.415909738766443
jadranovo,brgud,32.492837246456446
jadranovo,bakar,11.035491177366616
jadranovo,bakarac,6.4530844576141675
jadranovo,baska,30.313930741572264
jadranovo,rubesi,26.35041653264833
jadranovo,rijeka,17.70269151749014
jadranovo,opatija,27.232126404803722
jadranovo,vrata,13.3356974553577
jadranovo,selce,11.148220194451364
jadranovo,veprinac,29.181065578833845
vrata,omisalj,17.76094183623478
vrata,matulji,32.06528524914236
vrata,medveja,36.40817922343251
vrata,lovran,35.496813282011956
vrata,lipa,37.138706762221666
vrata,krasica,13.57085780642445
vrata,klenovica,25.495698347917866
vrata,kastav,30.36425399536963
vrata,klana,31.118087762614238
vrata,grobnik,21.804093616823113
vrata,hreljin,10.79462944084092
vrata,fuzine,1.8002405939916626
vrata,drazice,22.05356264701985
vrata,delnice,10.801763808347129
vrata,crikvenica,16.155259411044426
vrata,bribir,17.410547385433265
vrata,brgud,42.26071745688864
vrata,bakar,15.254935821424336
vrata,bakarac,12.15878590524927
vrata,baska,38.492066163614396
vrata,rubesi,30.478474206932304
vrata,rijeka,22.518531409425776
vrata,opatija,33.34568707333006
vrata,jadranovo,13.3356974553577
vrata,selce,17.639490060981643
vrata,veprinac,35.37679683936425
selce,omisalj,14.11583308870778
selce,matulji,38.54696016851671
selce,medveja,37.46195701165206
selce,lovran,37.8781021007357
selce,lipa,47.322762047516065
selce,krasica,21.332629975740332
selce,klenovica,11.587994475325033
selce,kastav,37.6636639119241
selce,klana,41.792667524403484
selce,grobnik,31.12527977280431
selce,hreljin,16.929885659503714
selce,fuzine,16.290927719286106
selce,drazice,32.48393079093654
selce,delnice,27.538756730090306
selce,crikvenica,2.781913508580152
